hbidkhehhfk	KELTAKUKKIA
mcfgci	silmiä
kfaech	Nytkin
jccjllalfc	piiperteli
jhlc	pari
jclhai	pientä
accacmai	tiitistä
ikialfflh	odotellen
fhbkhffh	laudalla
eiihalfccia	kääntelivät
ccfeehhmac	vilkkaasti
jicaiih	päitään
dh	ja
aclecmaccia	tirkistivät
ceebhhmah	ikkunasta
mcmiih	sisään
ccffichech	Silloinkin
ebh	kun
cbgchlh	ihminen
ih	on
gcai	mitä
bbbghhhabhlch	huumaantunein
dihebh	jonkun
gbmllahchh	musertavan
cmebh	iskun
aibklh	tähden
micffaaii	säilyttää
gbcmac	muisti
bmlch	usein
aclaigiaaiih	tietämättään
chhbidh	vanhoja
dbblabhlcah	juurtuneita
ahjidh	tapoja
kcchh	Aivan
eihllffcmlmac	koneellisesti
idlhmc	ojensi
jhmailc	pastori
eialhmi	kätensä
dfcieiblhffcmah	jyväkourallista
iaahghhh	ottamaan
dh	ja
hbehcmc	aukaisi
mlh	sen
difellh	jälkeen
fbbeebmlh	luukkusen
mclialffhemllh	sirotellakseen
hccai	niitä
jceeb	pikku
fmaiccffllh	ystävilleen
fhhbhh	Vanhan
jhbehcmlh	pahkaisen
ceebhhh	ikkunan
eibkhffh	kohdalla
ehmchchh	kasvavan
iglhhjbbh	omenapuun
fhachhh	latvaan
ifc	oli
ccfdhebji	viljakupo
jfmafalaaf	pystytetty
dh	ja
mlh	sen
fgjilcffl	ympärille
ehmhhhabc	kasaantui
chheebcch	vaakkuvia
chlcemch	variksia
ccmllaicci	visertäviä
chljbmch	varpusia
bibehhilbci	hohkanärhiä
dh	ja
gbcah	muita
ahfccfchabdh	talvilintuja
gbaah	mutta
hlha	arat
achcmjhlcla	tiaisparvet
diaeh	jotka
lccia	eivät
bmehfahhlla	uskaltaneet
hicklh	näiden
dibeeiih	joukkoon
hibeeccha	noukkivat
affafcicmchi	tyytyväisinä
lhcchaihhmh	ravintoansa
ceebhhfhbkhfah	ikkunalaudalta
hbh	Kun
ehceec	kaikki
dfcia	jyvät
ifc	oli
fijjbhlla	loppuneet
flhmccia	lensivät
bl	he
aclblhmi	tiehensä
cmabbabccha	istuutuivat
mclllhcjlhmhcklh	sireenipensaiden
bbblalcmcffl	huurteisille
iemcffl	oksille
hfehlh	alkaen
ccmllllffi	viserrellä
dh	ja
fbaieeci	yhtäkkiä
ehdhbac	kajahti
cfgicffl	ilmoille
eieihhchlh	kokonainen
ejjlc	kööri
fijjbghaihah	loppumatonta
lclgbfhbfbh	riemulaulua
michhbalfflh	soinnutellen
hcch	niin
laai	että
jhmailc	pastori
cbgllemllh	ihmeekseen
mcai	sitä
ebbhalfc	kuunteli
clh	Sen
cllahcmah	vertaista
lc	ei
bih	hän
gbcmalffba	muistellut
eihmhhhhh	konsanaan
ebbffllhmh	kuulleensa
ffgh	Ilma
hcchh	aivan
abfcc	tulvi
jlfeeci	pelkkiä
fchhbhmiclflcai	linnunsäveleitä
lcei	eikä
ml	se
iffba	ollut
lhcchhih	ravinnon
eccmalff	kiistely
dieh	joka
iihlh	äänen
mfhhfaac	synnytti
efffffklh	kyllyyden
dh	ja
affkfafemlh	tyydytyksen
miclfla	sävelet
mcchi	siinä
miccha	soivat
hbi	nuo
jificmla	poloiset
bjfblhjlcaalcmla	höyhenpeitteiset
mclfbaaigha	sieluttomat
iflhhia	olennot
ffcmaccia	ylistivät
chcmaighcmlmac	vaistomaisesti
fbidhhhmh	luojaansa
eihai	Häntä
dieh	joka
hchh	avaa
flgjlih	lempeän
eialhmi	kätensä
dh	ja
lhccamll	ravitsee
ehceec	kaikki
dicmmh	joissa
blhec	henki
ih	on
mhmailch	Pastorin
chfahmc	valtasi
igcabchlh	omituinen
abhhl	tunne
bih	hän
cbgchlh	ihminen
jlcaac	peitti
ehmcihmh	kasvonsa
biclalh	häveten
hicai	näitä
lfichlhbeeidh	eläinraukkoja
ebh	kun
hl	ne
chcmaighcmlmac	vaistomaisesti
eccaaccia	kiittivät
aigih	tämän
jiccih	päivän
lhcchhimah	ravinnosta
bbiflbacghaah	huolehtimatta
bbigcmlmah	huomisesta
diffich	jolloin
aigi	tämä
fflffcmffm	ylellisyys
elhaclm	kenties
di	jo
fijjbcmc	loppuisi
dh	ja
bih	hän
bih	hän
dieh	joka
hlfdiaaiefgglhai	neljättäkymmentä
cbiaah	vuotta
dieh	joka
jicci	päivä
ifc	oli
hhbaachba	nauttinut
gbghfhh	Jumalan
hlgih	armon
lbhmhbaah	runsautta
bih	hän
ifc	oli
aihiih	tänään
mfhacmlmmi	syntisessä
fhmlfklmmiih	ynseydessään
ehjchichba	kapinoinut
dh	ja
eccaaigiaajgimac	kiittämättömästi
mffaaihfa	syyttänyt
hhceecchfachmah	Kaikkivaltiasta
ahcchcklh	taivaiden
elllhh	Herraa
mccai	siitä
laai	että
eih	Hän
ifc	oli
bmehfahhba	uskaltanut
hhhmahh	anastaa
lliifai	eräältä
fbikbfahhh	luodultaan
ghhffcmlh	maallisen
hhlallh	aarteen
bcej	Eikö
ehceec	kaikki
fhbdha	lahjat
ifflla	olleet
eihlh	Hänen
ighhgglei	omaammeko
gl	me
gcaiih	mitään
diah	jota
gbghfh	Jumala
lc	ei
ifl	ole
fhbdicaahhba	lahjoittanut
gh	Ja
dim	jos
ehceec	kaikki
elllhh	kerran
ifc	oli
bihlh	hänen
lcej	eikö
eihlffi	Hänellä
mcaalh	sitten
iffba	ollut
icelbaah	oikeutta
iaahh	ottaa
ahehcmch	takaisin
gcai	mitä
bih	hän
ifc	oli
hhahhba	antanut
chhh	vaan
ehffcmhlcicmlhh	kallisarvoisena
fhchhhh	lainana
lfc	Oli
efffi	kyllä
hcchh	aivan
chlghhh	varmaan
ehcebc	kaikui
jhmailch	pastorin
abmehcmlmmh	tuskaisessa
lchhhmmh	rinnassa
dh	ja
ebcalhech	kuitenkin
ifc	oli
bih	hän
chmaceiih	vastikään
eilaaihfa	kärttänyt
jhfeehh	palkkaa
hhmcieehhmah	ansiokkaasta
lfigimaiih	elämästään
afjmaihmi	työstänsä
elllhh	Herran
ccchhgilmmi	viinamäessä
lc	Oi
ebh	kun
mcfgi	silmä
icelch	oikein
hchbabb	avautuu
mcmiffcmai	sisällistä
gclflhacfhh	mielentilaa
eimcaaigiih	käsittämään
bbighh	huomaa
ml	se
mfkigglmmi	sydämmessä
ebcfbdh	kuiluja
dicah	joita
lc	ei
ceihi	ikänä
ifcmc	olisi
cichba	voinut
bhlemchehhh	uneksiakaan
eih	Hän
ifc	oli
hchh	aina
fbbffba	luullut
laai	että
eiei	koko
bihlh	hänen
lfigihmi	elämänsä
ehceec	kaikki
bihlh	hänen
aicglhmh	toimensa
dibabccha	johtuivat
gbghfhffl	Jumalalle
hfaccmah	altiista
lheehbklmah	rakkaudesta
mbfhmah	sulasta
ighh	omaa
labh	etua
jffaigiaajgimai	pyytämättömästä
lheehbklmah	rakkaudesta
hfa	nyt
bih	hän
hiec	näki
gcai	mitä
camleim	itsekäs
cbgcmfbihai	ihmisluonto
ifc	oli
chhachba	vaatinut
lc	ei
hlgih	armoa
chhh	vaan
jhfeehh	palkkaa
lc	Oi
elllh	Herra
hlghbkh	armahda
eih	Hän
jhchic	painoi
jiihmi	päänsä
lcmacfhlcbch	ristiyneihin
eimcchmi	käsiinsä
dh	ja
chcjbc	vaipui
lbeibemllh	rukoukseen
bih	hän
hhic	anoi
hhallemc	anteeksi
hhjchhahhh	napinataan
bbiaalflchh	uhottelevaa
chfcabmahhh	valitustaan
hhic	anoi
cicghh	voimaa
chmahcmbbklh	vastaisuuden
chlhffl	varalle
hhic	anoi
laai	että
bih	hän
bbiglhhh	huomenna
cicmc	voisi
gbghfhh	Jumalan
ebhhchemc	kunniaksi
dbfcmahh	julistaa
hlgih	armon
mbficmah	suloista
mhhighh	sanomaa
dhhihccffl	janoaville
mclfbcffl	sieluille
hbh	Kun
bih	hän
fijlalaabhhh	lopetettuaan
ifc	oli
bcfdhh	hiljaa
eibiaahhba	kohottanut
ehmcihmh	kasvonsa
hbhcmacch	auaistiin
icc	ovi
chlichmac	varovasti
dh	ja
bihlh	hänen
chcgihmh	vaimonsa
hmabc	astui
bbihllmlh	huoneesen
ecfdhffllh	Hiljalleen
ebfec	kulki
bih	hän
fhaachh	lattian
ffc	yli
gclblhmi	miehensä
fbi	luo
dh	ja
mbifmc	suolsi
eialhmi	kätensä
bihlh	hänen
eiallhmi	käteensä
klghhhc	Armaani
mhhic	sanoi
bih	hän
flgjlch	lempein
iihch	äänin
hfehh	alkaa
bigilaii	hämärtää
gchi	minä
iflh	olen
di	jo
mfafaaihfa	sytyttänyt
ebbmlh	kuusen
jclhcffl	pienille
ccllhcfflhc	vierailleni
hicffl	noille
eifglffl	kolmelle
iljifhjmlffl	orpolapselle
aclkiabih	tiedäthän
diaeh	jotka
jicmglhhfa	poismennyt
flggceecggl	lemmikkimme
ifc	oli
jffaihfa	pyytänyt
mhhkh	saada
eimeli	käskeä
dibfbcfahhh	jouluiltana
glcffl	meille
icac	äiti
lc	ei
ifl	ole
bhibahhba	unohtanut
bihlh	hänen
cccgglcmai	viimmeistä
aiccigbmahhh	toivomustaan
hbi	nuo
eifgl	kolme
fhmah	lasta
mlcmicha	seisovat
di	jo
cbglalfflh	ihmetellen
ebbmlh	kuusen
iillmmi	ääressä
dh	ja
eiei	koko
jllblebhah	perhekunta
ih	on
eiiffh	koolla
laej	etkö
ahbki	tahdo
abffh	tulla
mcmiih	sisään
jcaigiih	pitämään
dibfbbhlahbaah	jouluhartautta
glckih	meidän
ehhmmhggl	kanssamme
jcei	Mikä
flgjli	lempeä
lbeicflch	rukoileva
michab	sointu
abimmh	tuossa
bcfdhcmlmmh	hiljaisessa
iihlmmi	äänessä
hfffi	Kyllä
hlghcmlhc	armaiseni
chcgimlhc	vaimoseni
mlh	sen
gchi	minä
ahbkih	tahdon
bih	hän
jhchhfmc	painalsi
bihla	hänet
camliih	itseään
chmalh	vasten
dh	ja
ehbchh	kauvan
bcffcafa	hillityt
effhlflla	kyyneleet
ccllccia	vierivät
bihlh	hänen
gclbleeicffl	miehekkäille
jimecffllh	poskilleen
gchi	minä
ceicjch	ikävöin
mhhkhemlhc	saadakseni
alckih	teidän
ehhmmhhhl	kanssanne
eccaaii	kiittää
dh	ja
ffcmaii	ylistää
gbghfhh	Jumalaa
dieh	joka
ih	on
fiblaaihfa	lähettänyt
hchihh	ainoan
jicehhmh	poikansa
ghhcfghhh	maailmaan
mfhacmci	syntisiä
chjhbahghhh	vapahtamaan
jbaah	Mutta
lhmch	ensin
ih	on
gchbffh	minulla
diahch	jotain
hhallemc	anteeksi
hhiaahchh	anottavaa
mchbfah	sinulta
lhehm	rakas
fmaicihc	ystäväni
cfhacmlmac	Syntisesti
chfcaahlmmhhc	valittaessani
ehaellicaac	katkeroitti
mchbh	sinun
hjfli	nöyrä
hfacbalmc	altiutesi
gchbh	minua
fbi	yhä
lhlggch	enemmin
aclkih	tiedän
hfa	nyt
mlh	sen
iffllh	olleen
mffaaidihi	syyttäjänä
dieh	joka
hhehlhmac	ankarasti
hbkcmac	ahdisti
ehjchhffcmah	kapinallista
mfkihaihc	sydäntäni
kfa	Nyt
ih	on
elllh	Herra
ebcalhech	kuitenkin
mhhhba	saanut
gchbh	minun
chfahhhmh	valtaansa
eih	Hän
ih	on
aifklffllh	täydelleen
gchba	minut
ghmlhahhba	masentanut
jhchhhba	painanut
gchba	minut
aigbbh	tomuun
gbaah	mutta
mhghffh	samalla
ellahh	kertaa
ih	on
eih	Hän
caml	itse
abffba	tullut
gchbffl	minulle
ehceec	kaikki
ehcelemc	kaikeksi
kcch	Niin
glhlaalfll	menettelee
abi	tuo
lhehm	rakas
ehceeccicjh	kaikkivoipa
elllh	Herra
eih	Hän
chcelhc	vaikeni
blaelemc	hetkeksi
iihaiih	ääntään
abelbbaahchh	tukehuttavan
fccebabemlh	liikutuksen
aibklh	tähden
gbaah	mutta
mcaalh	sitten
ellaic	kertoi
bih	hän
chcgiffllh	vaimolleen
fchabdlh	lintujen
dibfbcclllmai	jouluvirrestä
dh	ja
gcaei	mitkä
abhalla	tunteet
ml	se
ifc	oli
bihlmmi	hänessä
blliaaihfa	herättänyt
ccffich	Silloin
gblabccha	murtuivat
cccgglcmla	viimmeiset
mbfba	sulut
ccleeic	virkkoi
bih	hän
mfkigglhc	sydämmeni
mbfc	suli
dh	ja
fggilmch	ymmärsin
gbghfhh	Jumalan
lheehbklh	rakkauden
dieh	joka
eblcaahh	kurittaa
mlh	sen
aibklh	tähden
laai	että
eih	Hän
glcai	meitä
lhehmahh	rakastaa
bh	En
cichba	voinut
lhii	enää
mbllh	surra
aclmchbih	tiesinhän
laai	että
jceeb	pikku
chfeiabehffhhc	valkotukallani
ifc	oli
mclffi	siellä
jhfdih	paljoa
jhllgjc	parempi
iffh	olla
ebch	kuin
glckih	meidän
fbihhggl	luonamme
bih	hän
cclaaii	viettää
hfa	nyt
dibfbh	joulua
gbghfhh	Jumalan
chfahebhhhmmh	valtakunnassa
bblhmahehhggl	uurastakaamme
glech	mekin
mcai	sitä
laai	että
cccgglcmlh	viimmeisen
blaelggl	hetkemme
abfabh	tultua
mhcmcggl	saisimme
cclaaii	viettää
cdicmai	ijäistä
dibfbh	joulua
bihlh	hänen
ehhmmhhh	kanssaan
abiffh	tuolla
ffbiiffi	ylhäällä
kglh	Amen
albeiiggl	tehkäämme
ml	se
chmahmc	vastasi
icac	äiti
bcfdhh	hiljaa
caeclh	itkien
dh	ja
mcaalh	sitten
glhccia	menivät
giflggha	molemmat
bfim	ulos
jcglimai	pimeästä
bbihllmah	huoneesta
dibfbebbmlh	joulukuusen
dh	ja
dibfbefhaacfich	joulukynttiläin
fbi	luo
ffcmaigiih	ylistämään
gbghfhh	Jumalaa
dh	ja
alelgiih	tekemään
fhbjlbklhafjai	laupeudentyötä
lfici	elävä
ebch	kuva
blckih	heidän
chmahcmlmah	vastaisesta
lfigimaiih	elämästään
dh	ja
hccmai	niistä
blklfgcmai	hedelmistä
dicah	joita
eilaalflgbm	koettelemus
ehhahh	kantaa
elcmacaafdlh	kristittyjen
mfkiggcmmi	sydämmissä
gh	Ja
aimai	tästä
mfldicmlmai	syrjäisestä
llighhh	erämaan
jhjjcfhmah	pappilasta
eibimccha	kohosivat
ffcmafemlh	ylistyksen
miclfla	sävelet
lclgbeehhmac	riemukkaasti
ahcchmah	taivasta
eibac	kohti
fbai	yhtä
cicaaicmhmac	voittoisasti
fbai	yhtä
chlghmac	varmasti
ebch	kuin
fchabdlh	lintujen
dibfbcclllh	jouluvirren
ehceb	kaiku
hchh	aina
gbghfhh	Jumalan
cmabcglh	istuimen
fbi	luo
echlkebfjlikfcfk	USKONHEIMOLAISIA
hhemc	Kaksi
blhecfji	henkilöä
ifc	oli
jfmibafhfa	pysähtynyt
ehkbhebfghhh	kadunkulmaan
jbblflghhh	puhelemaan
clbih	Sehän
abfll	tulee
eieibm	kokous
aihi	tänä
cfahhh	iltana
jihalffclh	Montellien
fbihh	luona
ccleeic	virkkoi
aichlh	toinen
gbbhh	muuan
chhaallh	vanttera
libch	rouva
lficmchl	eloisine
lbmelchl	ruskeine
mcfgchllh	silmineen
cllklcceeh	Fredriikka
hceihll	aikonee
fbbfahchmac	luultavasti
mchhl	sinne
ibihhiffcmlmac	Luonnollisesti
chmahmc	vastasi
aichlh	toinen
cccklhefgglhlh	viidenkymmenen
ceichlh	ikäinen
hhcghaih	naimaton
hhchlh	nainen
abi	tuo
bllaahchlh	herttainen
icchh	Liina
fiblaaii	lähettää
hchh	aina
gchbffl	minulle
ebamba	kutsut
gcffich	milloin
chhh	vaan
ih	on
acfhcmbbaah	tilaisuutta
ebbffh	kuulla
elfciffcmah	kelvollista
dbghfhhmhhhh	jumalansanaa
blckih	heidän
fbihhhh	luonaan
gbghfh	Jumala
aiai	tätä
hlgih	armon
mcmhlah	sisarta
mcbhhaeiih	siunatkoon
eih	Hän
himac	nosti
bhlahhmac	hartaasti
clmcbhlghdha	vesiharmajat
mcfgihmi	silmänsä
ahcchmah	taivasta
eibklh	kohden
jblcmahlh	puristaen
eialhmi	kätensä
fbdhmac	lujasti
jclhlh	pienen
hlfflfcjjhhhmh	neylelippaansa
fgjilc	ympäri
diklffhech	Todellakin
ih	on
abi	tuo
icchh	Liina
jihalff	Montell
elfji	kelpo
cbgchlh	ihminen
mcai	sitä
lh	en
ahbki	tahdo
eclfaii	kieltää
bih	hän
ml	se
ellecc	kerkii
ehceechffl	kaikkialle
jbaah	Mutta
hfa	nyt
jcaii	pitää
gchbh	minun
glhhi	mennä
aihhl	tänne
bjkfchcch	Rödliniin
ebbflghhh	kuulemaan
diei	joko
mchhl	sinne
ih	on
mhhjbhba	saapunut
abiah	tuota
bfcii	hyvää
jblmalldbbmaih	chesterjuustoa
dimah	josta
gchbh	minun
beeihc	ukkoni
jcaii	pitää
hcch	niin
ahchaaighmac	tavattomasti
jl	Me
ahjhhggl	tapaamme
cffhffh	illalla
jihalffclh	Montellien
fbihh	luona
bfcimac	hyvästi
mccblh	siihen
hmac	asti
efcimac	Hyvästi
mhhic	sanoi
hlcac	neiti
cllklcceeh	Fredriikka
chall	Fager
dialhech	jotenkin
ebcchmac	kuivasti
dh	ja
ebh	kun
hlbciemlahl	neuvoksetar
elffmillach	Hellsbergin
bbighaahch	huomattava
chlahfi	vartalo
ifc	oli
ehkihhba	kadonnut
jbikchiclh	puodinoven
ahh	taa
ficcha	loivat
hbi	nuo
clmcbhlghdha	vesiharmajat
mcfgia	silmät
allicih	terävän
abaecchh	tutkivan
ehamllh	katseen
bihlh	hänen
difellhmi	jälkeensä
gh	Ja
abiggicmchech	tuommoisiakin
ahblhcmch	tahraisia
fhgjhcah	lampaita
ebh	kun
jcaii	pitää
eilmci	kärsiä
hchihmmh	ainoassa
aiklffcmlmmh	todellisessa
fhgghmfhbghmmh	lammaslaumassa
gbacmc	mutisi
bih	hän
gchi	minä
lh	en
cic	voi
ifflhehhh	ollenkaan
fggilaii	ymmärtää
jihalffldh	Montelleja
hhcalhehhh	anitenkaan
icchhh	Liinaa
dieh	joka
cccamcc	viitsii
ebambh	kutsua
gicmah	moista
ghhcfghhfhmah	maailmanlasta
glckih	meidän
bhlahbmblaeccggl	hartaushetkiimme
klcac	Neiti
chall	Fager
afjhmc	työnsi
dialhech	jotenkin
eilaafcmlhi	kärttyisenä
chhbhhhcebcmlh	vanhanaikuisen
mhallhchldihmh	sateenvarjonsa
ehhhhh	kannan
ghhbhh	maahan
hmalfflh	astellen
mcaal	sitte
miahcmch	sotaisin
hmelfch	askelin
lklffllh	edelleen
ehabh	katua
ebhhlm	kunnes
eiihafc	kääntyi
lliimlh	erääsen
mffmmhallh	syyssateen
aibklh	tähden
clmceeicmlemc	vesikkoiseksi
dh	ja
eblhcmlemc	kuraiseksi
eifhllmlh	käyneesen
ehabmifhhh	katusolaan
diheh	jonka
chlllffh	varrella
bihlh	hänen
chhacghaih	vaatimaton
ghdhhmh	majansa
ifc	oli
fhhbhmmh	Vanhassa
hmmi	Xssä
lc	ei
ifab	oltu
eicch	kovin
ahleeidh	tarkkoja
ehabdlh	katujen
jbbahbklh	puhtauden
mbballh	suhteen
chlmchech	varsinkin
hich	näin
mffmbigilimmi	syyshämärässä
ehamlfccha	katselivat
ehbjbhach	kaupungin
bhffcabmgclbla	hallitusmiehet
hicai	näitä
hmcicah	asioita
fijc	läpi
milgclhmh	sormiensa
dh	ja
aicciccha	toivoivat
fbhah	lunta
ghllhmebb	marraskuu
ebh	kun
ifc	oli
di	jo
eimcffi	käsillä
jbbahgch	Muutamia
abhach	tuntia
gfjblggch	myöhemmin
imelh	äsken
mfafalaafdlh	sytytettyjen
ehabffbafdlh	katulyhtyjen
bhcmlmac	unisesti
abceiaahlmmh	tuikottaessa
abccllac	tuiverti
hlcac	neiti
chall	Fager
ahhmlh	taasen
bfeihh	ulkona
mffmfihmmh	syysloassa
diffi	Tällä
ellahh	kertaa
ebfec	kulki
bih	hän
jcaech	pitkin
cbblahehabh	Suurtakatua
gbbahghh	muutamaa
jcaeibeji	pitkähköä
jbblhelhhbmah	puurakennusta
eibac	kohti
diheh	jonka
aicmlmmh	toisessa
jiimmi	päässä
ifc	oli
eiglh	komea
gffgifi	myymälä
heebhicmmhhh	akkunoissaan
bjlcflcchl	upeilevine
ehcelhfhcmchl	kaikenlaisine
hfefhcehcmchl	nykyaikaisine
eilbahchlichllh	korutavaroineen
dh	ja
diheh	jonka
iclh	oven
jiiffl	päälle
bmhchm	Esaias
jihalffch	Montellin
hcgc	nimi
ebfahecldhcgch	kultakirjaimin
ifc	oli
ghhfhaab	maalattu
miieifaici	Pääkäytävä
ifc	oli
jcbhh	pihan
jbiflffh	puolella
clh	Sen
gbikimac	muodosti
dieh	joka
jbiflfah	puolelta
cllbiaab	verhottu
fhmcmbidbm	lasisuojus
dieh	joka
elmicmch	kesäisin
ahchffcmlmac	tavallisesti
ifc	oli
hcchh	aivan
aifhhi	täynnä
ebeech	kukkia
balcmlh	Eteisen
icc	ovi
ifc	oli
fbecamlghaah	lukitsematta
chhh	vaan
ehaaifhgjjb	kattolamppu
ifc	oli
di	jo
ebcalhech	kuitenkin
mfafalaaf	sytytetty
klcac	Neiti
chall	Fager
lcjbmac	ripusti
chhbhh	vanhan
mbgbh	sumun
eimabaahghh	kostuttaman
mhklchcjjhhmh	sadevaippansa
ahchffcmllh	tavalliseen
hhbfhhhmh	naulaansa
ehefbbhch	kakluunin
fbi	luo
dh	ja
mcfcaalfc	silitteli
dbblc	juuri
jhlbhcffhhh	parhaillaan
bhlghdhhelffllcii	harmajankellervää
abeehhhmh	tukkaansa
ebh	kun
fiblcmlh	läheisen
mhfch	salin
icc	ovi
hchbabc	avautui
dh	ja
ahfih	talon
lgihai	emäntä
abfc	tuli
bfim	ulos
aiccialfflh	toivotellen
fmaiciffcmlmac	ystävällisesti
ccllhmahhh	vierastaan
allclabffllemc	tervetulleeksi
bibch	Rouva
jihalff	Montell
ifc	oli
ehbjbhach	kaupungin
chlheehcgjch	varakkaimpia
dh	ja
hlcieehcgjch	arvokkaimpia
ehbjjchhhlibcch	kauppiaanrouvia
ifcjh	olipa
bihai	häntä
hbillgjhhh	nuorempana
jcklaaf	pidetty
hcchh	aivan
mlh	sen
ebeelcgjhhh	kukkeimpana
cgjlhi	impenä
fccklmai	Viidestä
cccklaai	viidettä
cbiklmahhh	vuodestaan
bbifcghaah	huolimatta
ifc	oli
bih	hän
cclfi	vielä
hfaech	nytkin
clbghhh	vehmaan
cbihmh	ihonsa
lbmelhh	ruskean
ccfdhchh	viljavan
abeehhmh	tukkansa
dh	ja
ecleehcklh	kirkkaiden
cccmhmalh	viisasten
mcfgclhmi	silmiensä
cbiemc	vuoksi
chlmch	varsin
jbfmehh	pulskan
hiejchlh	näköinen
eih	Hän
ifc	oli
jcaei	pitkä
dh	ja
miflch	soleva
mlei	sekä
eifajemlfaiih	käytökseltään
mbfhch	sulava
albklh	tehden
camlhmi	itsensä
bbighabemc	huomatuksi
ehcecmmh	kaikissa
fcceelcmmiih	liikkeissään
cfghbabchffh	ilmautuvalla
cicgheebbklffh	voimakkuudella
dh	ja
lccheebbklffh	rivakkuudella
efcii	Hyvää
cfahh	iltaa
bfcii	hyvää
cfahh	iltaa
mchi	sinä
alca	teit
chlmch	varsin
ecfacmac	kiltisti
cllklcceeh	Fredriikka
abfflmmhmc	tullessasi
bcbehh	hiukan
hcehcmlggch	aikaisemmin
hfa	nyt
mhhh	saan
lmcaaii	esittää
mchba	sinut
glckih	meidän
hbillffl	nuorelle
jhmailcfflggl	pastorillemme
eih	Hän
mjc	söi
glcffi	meillä
jicciffcmai	päivällistä
dh	ja
ih	on
hfa	nyt
iffba	ollut
blaecmlh	hetkisen
camlemllh	itsekseen
abiffh	tuolla
mcmimmi	sisässä
lfl	Ole
bfci	hyvä
dh	ja
eif	käy
mcmiffl	sisälle
hccaiemch	Kiitoksia
icchh	Liina
bllaahcmlhc	herttaiseni
mchi	sinä
ifla	olet
hchh	aina
hcch	niin
fmaiciffchlh	ystävällinen
dh	ja
hlcac	neiti
chall	Fager
jblcmac	puristi
bmlhgjch	useampia
ellaidh	kertoja
bihlh	hänen
eiaaiih	kättään
mhmailc	Pastori
djlhl	Törne
bhldicaahh	harjoittaa
jhlbhhffhhh	parhaallaan
llimai	erästä
cclaai	virttä
dh	ja
gchi	minä
aicgcach	toimitin
khhhh	Annan
bihai	häntä
milmaigiih	säestämään
lbiehmhfch	ruokasalin
bhlgiihcffh	harmoonilla
hlhaclm	Kenties
glhlgglech	menemmekin
mchhl	sinne
jbaah	Mutta
glbih	mehän
cicggl	voimme
biclcai	häiritä
ebcmehmc	kuiskasi
hlcac	neiti
chall	Fager
jckiaailh	pidättäen
lgihaii	emäntää
blckih	heidän
mlcmilmmhhh	seisoessaan
mbblllh	suureen
cfgheehhmlh	ilmakkaasen
chhflhheccfaiccffi	vaaleankiiltävillä
abiflcffh	tuoleilla
dh	ja
mclicemc	siroiksi
ghhfhabcffh	maalatuilla
jlhelcffi	penkeillä
mcmbmalaabbh	sisustettuun
bbihllmlh	huoneesen
dibahchh	johtavan
efhhfemlh	kynnyksen
iillmmi	ääressä
kbleehhh	Nurkkaan
ifc	oli
hmlalaab	asetettu
ccallaaich	viteettäin
jclhc	pieni
fbgcchfelhffh	lumivalkealla
fcchhffh	liinalla
cllbiaab	verhottu
jjfai	pöytä
diah	jota
gbbahgha	muutamat
ebeeccha	kukkivat
lbbeebehmcca	ruukkukasvit
migcmaccha	somistivat
cclhimac	vienosti
chfhcmlch	valaiseva
fhgjjb	lamppu
blcaac	heitti
cicelaaiih	väikettään
blckih	heidän
ffcamlhmi	ylitsensä
blcdhmablh	heijastuen
jclhllh	pieneen
bijlhahldiaacgllh	hopeatarjottimeen
diffh	jolla
ifc	oli
fhmc	lasi
lhcehmah	raikasta
claai	vettä
jcalh	Miten
gclfffaaicimac	miellyttävästi
mchi	sinä
hchh	aina
imhha	osaat
ehceec	kaikki
hmlaahh	asettaa
bfci	hyvä
icchh	Liina
bibch	Rouva
jihalff	Montell
ebghlacbl	kumartihe
ehbhcmah	kaunista
jiiaiih	päätään
bih	hän
aclmc	tiesi
bfcch	hyvin
laai	että
ml	se
ifc	oli
aiaah	totta
cccbmlchih	Sivuseinän
cclllmmi	vieressä
ifc	oli
eiglh	komea
blebbhlgiihci	urkuharmoonio
diheh	jonka
jlihmmcmcmmh	pronssisissa
efhaacfibhhlheelcmmh	kynttilähaarakkeissa
jhficcha	paloivat
efhaacfia	kynttilät
jbbhh	Muuan
hbilc	nuori
afaaj	tyttö
cmabc	istui
hijjicgcmajh	näppäimistön
ffc	yli
ebghlabhllhh	kumartuneena
micalfflh	soitellen
cbhhch	ihania
dbbfhffcmch	juhlallisia
miclflcai	säveleitä
bihlh	hänen
cclllmmiih	vieressään
mlcmic	seisoi
mcleli	sirkeä
gclm	mies
gbmaha	mustat
mcfgia	silmät
eiklmmiih	kädessään
iflchhh	olevaan
cclmcecldhhh	virsikirjaan
ecchhcalaafhi	kiinnitettynä
fic	Voi
gbghfh	Jumala
gcei	mikä
gclblh	miehen
ebch	kuva
mijllmc	sopersi
hlcac	neiti
chall	Fager
kcch	Niin
bih	hän
ih	on
aimchhhech	tosiaankin
mhhhba	saanut
elllhfah	Herralta
mbblla	suuret
mlei	sekä
lbbgcch	ruumiin
laai	että
mclfbh	sielun
fhbdha	lahjat
chmahmc	vastasi
lgihai	emäntä
bclghh	hieman
hbbalflchffh	nuhtelevalla
iihlffi	äänellä
diklh	Toden
aiaah	totta
bih	hän
ih	on
femc	yksi
bhlcidh	harvoja
chfcaabdh	valittuja
bbiehmc	huokasi
